Source,Target,Type
1,2,Undirected
2,4,Undirected
4,3,Undirected
3,1,Undirected
1,4,Undirected
2,3,Undirected
5,6,Undirected
6,8,Undirected
8,7,Undirected
7,5,Undirected
5,8,Undirected
6,7,Undirected
3,5,Undirected
9,10,Undirected
10,12,Undirected
12,11,Undirected
11,9,Undirected
9,12,Undirected
10,11,Undirected
2,9,Undirected
13,14,Undirected
14,16,Undirected
16,15,Undirected
15,13,Undirected
13,16,Undirected
14,15,Undirected
11,6,Undirected
4,13,Undirected
17,18,Undirected
18,20,Undirected
20,19,Undirected
19,17,Undirected
17,20,Undirected
18,19,Undirected
21,22,Undirected
22,24,Undirected
24,23,Undirected
23,21,Undirected
21,24,Undirected
22,23,Undirected
19,21,Undirected
25,26,Undirected
26,28,Undirected
28,27,Undirected
27,25,Undirected
25,28,Undirected
26,27,Undirected
29,30,Undirected
30,32,Undirected
32,31,Undirected
31,29,Undirected
29,32,Undirected
30,31,Undirected
27,22,Undirected
20,29,Undirected
7,17,Undirected
8,25,Undirected
18,15,Undirected
33,34,Undirected
34,36,Undirected
36,35,Undirected
35,33,Undirected
33,36,Undirected
34,35,Undirected
37,38,Undirected
38,40,Undirected
40,39,Undirected
39,37,Undirected
37,40,Undirected
38,39,Undirected
35,37,Undirected
41,42,Undirected
42,44,Undirected
44,43,Undirected
43,41,Undirected
41,44,Undirected
42,43,Undirected
45,46,Undirected
46,48,Undirected
48,47,Undirected
47,45,Undirected
45,48,Undirected
46,47,Undirected
43,38,Undirected
36,45,Undirected
23,33,Undirected
24,41,Undirected
31,34,Undirected
49,50,Undirected
50,52,Undirected
52,51,Undirected
51,49,Undirected
49,52,Undirected
50,51,Undirected
53,54,Undirected
54,56,Undirected
56,55,Undirected
55,53,Undirected
53,56,Undirected
54,55,Undirected
57,58,Undirected
58,60,Undirected
60,59,Undirected
59,57,Undirected
57,60,Undirected
58,59,Undirected
50,57,Undirected
61,62,Undirected
62,64,Undirected
64,63,Undirected
63,61,Undirected
61,64,Undirected
62,63,Undirected
59,54,Undirected
52,61,Undirected
65,66,Undirected
66,68,Undirected
68,67,Undirected
67,65,Undirected
65,68,Undirected
66,67,Undirected
69,70,Undirected
70,72,Undirected
72,71,Undirected
71,69,Undirected
69,72,Undirected
70,71,Undirected
73,74,Undirected
74,76,Undirected
76,75,Undirected
75,73,Undirected
73,76,Undirected
74,75,Undirected
77,78,Undirected
78,80,Undirected
80,79,Undirected
79,77,Undirected
77,80,Undirected
78,79,Undirected
75,70,Undirected
68,77,Undirected
56,73,Undirected
66,63,Undirected
81,82,Undirected
82,84,Undirected
84,83,Undirected
83,81,Undirected
81,84,Undirected
82,83,Undirected
85,86,Undirected
86,88,Undirected
88,87,Undirected
87,85,Undirected
85,88,Undirected
86,87,Undirected
89,90,Undirected
92,91,Undirected
91,89,Undirected
89,92,Undirected
90,91,Undirected
93,94,Undirected
94,96,Undirected
96,95,Undirected
95,93,Undirected
93,96,Undirected
94,95,Undirected
91,86,Undirected
84,93,Undirected
72,89,Undirected
79,82,Undirected
10,49,Undirected
12,53,Undirected
51,14,Undirected
16,65,Undirected
55,26,Undirected
28,69,Undirected
67,30,Undirected
32,81,Undirected
71,42,Undirected
44,85,Undirected
83,46,Undirected
97,98,Undirected
98,100,Undirected
100,99,Undirected
97,100,Undirected
98,99,Undirected
101,102,Undirected
102,104,Undirected
104,103,Undirected
101,104,Undirected
102,103,Undirected
105,106,Undirected
106,108,Undirected
108,107,Undirected
107,105,Undirected
105,108,Undirected
106,107,Undirected
98,105,Undirected
109,110,Undirected
110,112,Undirected
112,111,Undirected
111,109,Undirected
109,112,Undirected
110,111,Undirected
107,102,Undirected
100,109,Undirected
113,114,Undirected
114,116,Undirected
116,115,Undirected
115,113,Undirected
113,116,Undirected
114,115,Undirected
117,118,Undirected
118,120,Undirected
120,119,Undirected
117,120,Undirected
118,119,Undirected
121,122,Undirected
122,124,Undirected
124,123,Undirected
123,121,Undirected
121,124,Undirected
122,123,Undirected
125,126,Undirected
126,128,Undirected
128,127,Undirected
127,125,Undirected
125,128,Undirected
126,127,Undirected
123,118,Undirected
116,125,Undirected
104,121,Undirected
114,111,Undirected
129,130,Undirected
130,132,Undirected
132,131,Undirected
131,129,Undirected
129,132,Undirected
130,131,Undirected
133,134,Undirected
134,136,Undirected
136,135,Undirected
135,133,Undirected
133,136,Undirected
134,135,Undirected
137,138,Undirected
138,140,Undirected
140,139,Undirected
139,137,Undirected
137,140,Undirected
138,139,Undirected
141,142,Undirected
142,144,Undirected
144,143,Undirected
143,141,Undirected
141,144,Undirected
142,143,Undirected
139,134,Undirected
132,141,Undirected
120,137,Undirected
127,130,Undirected
145,146,Undirected
146,148,Undirected
148,147,Undirected
147,145,Undirected
145,148,Undirected
146,147,Undirected
