Source,Target,Type
2,1,Undirected
1,3,Undirected
2,3,Undirected
2,4,Undirected
4,3,Undirected
3,5,Undirected
4,5,Undirected
6,4,Undirected
6,5,Undirected
5,7,Undirected
7,6,Undirected
5,8,Undirected
7,8,Undirected
9,8,Undirected
9,7,Undirected
8,10,Undirected
11,10,Undirected
9,11,Undirected
9,10,Undirected
10,12,Undirected
13,12,Undirected
13,11,Undirected
11,12,Undirected
14,11,Undirected
15,13,Undirected
14,15,Undirected
14,13,Undirected
17,16,Undirected
16,18,Undirected
19,18,Undirected
19,17,Undirected
17,18,Undirected
20,17,Undirected
21,19,Undirected
20,21,Undirected
20,19,Undirected
14,16,Undirected
15,18,Undirected
16,15,Undirected
22,20,Undirected
22,21,Undirected
